sales_order_id,order_date,customer_id,sales_channel,order_status,payment_method,subtotal,discount_total,tax_total,order_total,created_date
RP-000001,2025-09-14,10534,Raven Prime,Closed,Coin,85.82,2.36,5.99,91.81,2025-09-14
RP-000002,2025-07-24,7062,Raven Prime,Shipped,Coin,60.28,3.1,3.77,64.05,2025-07-24
RP-000003,2025-08-22,8932,Raven Prime,Shipped,Coin,101.23,7.09,8.22,109.46,2025-08-22
RP-000004,2025-09-30,9212,Raven Prime,Closed,Coin,75.65,3.4,4.73,80.38,2025-09-30
RP-000005,2025-07-14,7745,Raven Prime,Closed,Coin,124.48,2.87,8.94,133.42,2025-07-14
RP-000006,2025-09-16,10235,Raven Prime,Shipped,Coin,58.34,3.32,5.03,63.37,2025-09-16
RP-000007,2025-09-17,9249,Raven Prime,Closed,Coin,66.25,4.55,4.14,70.39,2025-09-17
RP-000008,2025-09-30,7630,Raven Prime,Shipped,Coin,74.0,2.66,6.44,80.44,2025-09-30
RP-000009,2025-09-16,9732,Raven Prime,Open,Coin,41.34,3.04,2.58,43.92,2025-09-16
RP-000010,2025-09-16,9936,Raven Prime,Shipped,Coin,22.02,0.37,1.38,23.4,2025-09-16
RP-000011,2025-08-17,8849,Raven Prime,Closed,Coin,46.74,3.7,2.92,49.67,2025-08-17
RP-000012,2025-07-16,8129,Raven Prime,Closed,Coin,53.89,2.76,3.67,57.57,2025-07-16
RP-000013,2025-09-03,7238,Raven Prime,Closed,Coin,66.29,1.12,4.92,71.21,2025-09-03
RP-000014,2025-08-29,9761,Raven Prime,Closed,Coin,218.49,7.31,20.21,238.7,2025-08-29
RP-000015,2025-09-03,7222,Raven Prime,Closed,Coin,56.11,4.4,3.51,59.62,2025-09-03
RP-000016,2025-08-10,8922,Raven Prime,Closed,Coin,91.94,4.22,7.78,99.72,2025-08-10
RP-000017,2025-08-19,7840,Raven Prime,Open,Coin,115.25,4.17,8.25,123.5,2025-08-19
RP-000018,2025-07-11,7727,Raven Prime,Shipped,Coin,95.75,7.49,5.98,101.73,2025-07-11
RP-000019,2025-08-22,7979,Raven Prime,Open,Coin,103.12,7.14,7.91,111.03,2025-08-22
RP-000020,2025-08-18,7837,Raven Prime,Shipped,Coin,33.12,2.38,2.07,35.19,2025-08-18
RP-000021,2025-07-28,7515,Raven Prime,Closed,Coin,27.61,1.61,1.73,29.33,2025-07-28
RP-000022,2025-07-27,7866,Raven Prime,Closed,Coin,26.11,0.42,1.63,27.74,2025-07-27
RP-000023,2025-07-27,7156,Raven Prime,Shipped,Coin,79.26,6.07,5.73,84.99,2025-07-27
RP-000024,2025-07-29,9687,Raven Prime,Shipped,Coin,198.26,9.97,16.2,214.46,2025-07-29
RP-000025,2025-07-15,8517,Raven Prime,Shipped,Coin,88.64,7.57,8.43,97.07,2025-07-15
RP-000026,2025-09-19,10490,Raven Prime,Closed,Coin,24.54,1.32,1.53,26.08,2025-09-19
RP-000027,2025-09-23,8901,Raven Prime,Open,Coin,81.9,4.46,5.12,87.02,2025-09-23
RP-000028,2025-08-09,9306,Raven Prime,Closed,Coin,63.34,5.42,5.14,68.48,2025-08-09
RP-000029,2025-08-05,9179,Raven Prime,Closed,Coin,29.01,1.89,2.08,31.09,2025-08-05
RP-000030,2025-08-30,8747,Raven Prime,Shipped,Coin,147.8,8.2,11.34,159.14,2025-08-30
RP-000031,2025-09-18,9233,Raven Prime,Closed,Coin,163.67,11.35,11.79,175.47,2025-09-18
RP-000032,2025-09-08,9289,Raven Prime,Shipped,Coin,65.38,3.23,6.35,71.72,2025-09-08
RP-000033,2025-09-08,8062,Raven Prime,Shipped,Coin,41.74,0.94,3.19,44.93,2025-09-08
RP-000034,2025-07-01,10192,Raven Prime,Closed,Coin,64.21,3.49,5.41,69.62,2025-07-01
RP-000035,2025-09-09,8498,Raven Prime,Closed,Coin,52.21,3.38,3.71,55.92,2025-09-09
RP-000036,2025-07-20,7550,Raven Prime,Closed,Coin,119.08,4.41,8.19,127.27,2025-07-20
RP-000037,2025-07-05,9970,Raven Prime,Shipped,Coin,107.99,1.32,10.56,118.56,2025-07-05
RP-000038,2025-08-28,8983,Raven Prime,Closed,Coin,51.03,3.78,3.85,54.88,2025-08-28
RP-000039,2025-07-24,9628,Raven Prime,Shipped,Coin,24.48,1.29,1.53,26.01,2025-07-24
RP-000040,2025-08-07,10082,Raven Prime,Open,Coin,33.26,1.53,2.3,35.56,2025-08-07
RP-000041,2025-07-31,10130,Raven Prime,Shipped,Coin,72.63,1.4,4.54,77.17,2025-07-31
RP-000042,2025-08-01,7291,Raven Prime,Closed,Coin,49.45,3.24,4.52,53.97,2025-08-01
RP-000043,2025-08-15,8125,Raven Prime,Shipped,Coin,96.65,8.39,7.17,103.82,2025-08-15
RP-000044,2025-08-19,7317,Raven Prime,Shipped,Coin,185.09,12.62,15.22,200.31,2025-08-19
RP-000045,2025-07-15,10325,Raven Prime,Closed,Coin,47.39,4.55,3.69,51.09,2025-07-15
RP-000046,2025-07-07,7605,Raven Prime,Closed,Coin,95.3,6.39,7.01,102.31,2025-07-07
RP-000047,2025-08-09,7530,Raven Prime,Closed,Coin,44.12,2.02,2.76,46.87,2025-08-09
RP-000048,2025-09-13,10434,Raven Prime,Closed,Coin,40.55,0.85,2.53,43.09,2025-09-13
